date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:13	23070/23070	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Feb%202022%2003:00:12%20GMT	https://mint-metacard.art/	C:/My%20Web%20Sites/metacard/mint-metacard.art/index.html	(from )
17:29:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Feb%202022%2023:29:12%20GMT	https://mint-metacard.art/robots.txt		(from )
17:29:13	20285/20285	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2002:59:26%20GMT	https://mint-metacard.art/assets/css/xmain.css	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/css/xmain.css	(from https://mint-metacard.art/)
17:29:13	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Thu,%2003%20Feb%202022%2001:51:00%20GMT	https://mint-metacard.art/favicon.ico	C:/My%20Web%20Sites/metacard/mint-metacard.art/favicon.ico	(from https://mint-metacard.art/)
17:29:14	8353/8353	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2001:51:04%20GMT	https://mint-metacard.art/_next/static/css/4a36223833c72b3c.css	C:/My%20Web%20Sites/metacard/mint-metacard.art/_next/static/css/4a36223833c72b3c.css	(from https://mint-metacard.art/)
17:29:14	29606/29606	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2002:59:26%20GMT	https://mint-metacard.art/assets/css/clear.css	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/css/clear.css	(from https://mint-metacard.art/)
17:29:14	12204/12204	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2002:59:56%20GMT	https://mint-metacard.art/assets/css/style321.css	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/css/style321.css	(from https://mint-metacard.art/)
17:29:14	23070/23070	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Feb%202022%2003:00:12%20GMT	https://mint-metacard.art/index.html	C:/My%20Web%20Sites/metacard/mint-metacard.art/index-2.html	(from https://mint-metacard.art/)
17:29:15	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Feb%202022%2023:29:14%20GMT	https://mint-metacard.art/events.html	C:/My%20Web%20Sites/metacard/mint-metacard.art/events.html	(from https://mint-metacard.art/)
17:29:15	1988/1988	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Feb%202022%2001:51:02%20GMT	https://mint-metacard.art/assets/icons/discord.svg	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/icons/discord.svg	(from https://mint-metacard.art/)
17:29:15	1583/1583	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Feb%202022%2001:51:02%20GMT	https://mint-metacard.art/assets/icons/instagram.svg	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/icons/instagram.svg	(from https://mint-metacard.art/)
17:29:15	541389/541389	---M--	200	added ('OK')	image/gif	date:Thu,%2003%20Feb%202022%2001:51:08%20GMT	https://mint-metacard.art/gif.gif	C:/My%20Web%20Sites/metacard/mint-metacard.art/gif.gif	(from https://mint-metacard.art/)
17:29:16	1259/1259	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Feb%202022%2001:51:02%20GMT	https://mint-metacard.art/assets/icons/twitter.svg	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/icons/twitter.svg	(from https://mint-metacard.art/)
17:29:16	297/297	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Feb%202022%2001:51:02%20GMT	https://mint-metacard.art/assets/plus.svg	C:/My%20Web%20Sites/metacard/mint-metacard.art/assets/plus.svg	(from https://mint-metacard.art/)
